[Tue  7 Jun 20:03:06 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 164 --- 144939
[Tue  7 Jun 20:03:07 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 165 --- 144939
[Tue  7 Jun 20:03:07 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 166 --- 144939
[Tue  7 Jun 20:03:08 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 167 --- 144939
[Tue  7 Jun 20:03:08 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 168 --- 144939
[Tue  7 Jun 20:03:08 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 169 --- 144939
[Tue  7 Jun 20:03:09 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 170 --- 144939
[Tue  7 Jun 20:03:09 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 171 --- 144939
[Tue  7 Jun 20:03:10 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 172 --- 144939
[Tue  7 Jun 20:03:10 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 173 --- 144939
[Tue  7 Jun 20:03:10 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 174 --- 144939
[Tue  7 Jun 20:03:11 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 175 --- 144939
[Tue  7 Jun 20:03:11 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 176 --- 144939
[Tue  7 Jun 20:03:11 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 177 --- 144939
[Tue  7 Jun 20:03:12 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 178 --- 144939
[Tue  7 Jun 20:03:12 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 179 --- 144939
[Tue  7 Jun 20:03:13 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 180 --- 144939
[Tue  7 Jun 20:03:13 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 181 --- 144939
[Tue  7 Jun 20:03:13 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 182 --- 144939
[Tue  7 Jun 20:03:14 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 183 --- 144939
[Tue  7 Jun 20:03:14 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 184 --- 144939
[Tue  7 Jun 20:03:15 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 185 --- 144939
[Tue  7 Jun 20:03:15 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 186 --- 144939
[Tue  7 Jun 20:03:16 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 187 --- 144939
[Tue  7 Jun 20:03:16 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 188 --- 144939
[Tue  7 Jun 20:03:17 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 189 --- 144939
[Tue  7 Jun 20:03:17 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 190 --- 144939
[Tue  7 Jun 20:03:18 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 191 --- 144939
[Tue  7 Jun 20:03:18 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 192 --- 144939
[Tue  7 Jun 20:03:18 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 193 --- 144939
[Tue  7 Jun 20:03:19 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 194 --- 144939
[Tue  7 Jun 20:03:19 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 195 --- 144939
[Tue  7 Jun 20:03:20 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 196 --- 144939
[Tue  7 Jun 20:03:20 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 197 --- 144939
[Tue  7 Jun 20:03:20 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 198 --- 144939
[Tue  7 Jun 20:03:21 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 199 --- 144939
[Tue  7 Jun 20:03:28 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 0 --- 166637
[Tue  7 Jun 20:03:34 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 1 --- 144939
[Tue  7 Jun 20:03:34 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 2 --- 144939
[Tue  7 Jun 20:03:35 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 3 --- 144939
[Tue  7 Jun 20:03:38 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 4 --- 144939
[Tue  7 Jun 20:03:38 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 5 --- 144939
[Tue  7 Jun 20:03:39 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 6 --- 144939
[Tue  7 Jun 20:03:39 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 7 --- 144939
[Tue  7 Jun 20:03:39 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 8 --- 144939
[Tue  7 Jun 20:03:40 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 9 --- 144939
[Tue  7 Jun 20:03:40 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 10 --- 144939
[Tue  7 Jun 20:03:41 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 11 --- 144939
[Tue  7 Jun 20:03:41 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 12 --- 144939
[Tue  7 Jun 20:03:41 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 13 --- 144939
